Country Name,Country Code,Year,GDP,CO2_per_capita,CO2_total,CO2_per_GDP,Population,Energy_consumption,Poverty
United States,USA,1965,741904862068.965,17.375,3399.547,0.818,195653775.0,14439.7,1.9
United States,USA,1965,741904862068.965,17.375,3399.547,0.818,195653775.0,14439.7,4.2
United States,USA,1965,741904862068.965,17.375,3399.547,0.818,195653775.0,14439.7,1.0
United States,USA,1965,741904862068.965,17.375,3399.547,0.818,195653775.0,14439.7,1.7
United States,USA,1965,741904862068.965,17.375,3399.547,0.818,195653775.0,14439.7,0.8
United States,USA,1965,741904862068.965,17.375,3399.547,0.818,195653775.0,14439.7,1.2
United States,USA,1966,813032758620.69,18.013,3571.421,0.806,198265397.0,15247.363,2.0
United States,USA,1966,813032758620.69,18.013,3571.421,0.806,198265397.0,15247.363,4.5
United States,USA,1966,813032758620.69,18.013,3571.421,0.806,198265397.0,15247.363,0.9
United States,USA,1966,813032758620.69,18.013,3571.421,0.806,198265397.0,15247.363,1.7
United States,USA,1966,813032758620.69,18.013,3571.421,0.806,198265397.0,15247.363,0.7
United States,USA,1966,813032758620.69,18.013,3571.421,0.806,198265397.0,15247.363,1.2
United States,USA,1967,859620034482.759,18.463,3705.461,0.816,200699913.0,15778.539,1.7
United States,USA,1967,859620034482.759,18.463,3705.461,0.816,200699913.0,15778.539,3.7
United States,USA,1967,859620034482.759,18.463,3705.461,0.816,200699913.0,15778.539,0.8
United States,USA,1967,859620034482.759,18.463,3705.461,0.816,200699913.0,15778.539,1.5
United States,USA,1967,859620034482.759,18.463,3705.461,0.816,200699913.0,15778.539,0.7
United States,USA,1967,859620034482.759,18.463,3705.461,0.816,200699913.0,15778.539,1.0
United Kingdom,GBR,1968,107759910067.88948,10.979,606.488,0.662,55240654.0,2411.424,0.3
United Kingdom,GBR,1968,107759910067.88948,10.979,606.488,0.662,55240654.0,2411.424,1.2
United Kingdom,GBR,1968,107759910067.88948,10.979,606.488,0.662,55240654.0,2411.424,0.1
United Kingdom,GBR,1968,107759910067.88948,10.979,606.488,0.662,55240654.0,2411.424,0.2
United Kingdom,GBR,1968,107759910067.88948,10.979,606.488,0.662,55240654.0,2411.424,0.1
United Kingdom,GBR,1968,107759910067.88948,10.979,606.488,0.662,55240654.0,2411.424,0.2
United States,USA,1968,940225000000.0,18.92,3840.919,0.808,203011021.0,16719.385,1.5
United States,USA,1968,940225000000.0,18.92,3840.919,0.808,203011021.0,16719.385,3.2
United States,USA,1968,940225000000.0,18.92,3840.919,0.808,203011021.0,16719.385,0.7
United States,USA,1968,940225000000.0,18.92,3840.919,0.808,203011021.0,16719.385,1.2
United States,USA,1968,940225000000.0,18.92,3840.919,0.808,203011021.0,16719.385,0.6
United States,USA,1968,940225000000.0,18.92,3840.919,0.808,203011021.0,16719.385,1.0
United Kingdom,GBR,1969,116464702803.21764,11.331,628.383,0.674,55456208.0,2498.73,0.4
United Kingdom,GBR,1969,116464702803.21764,11.331,628.383,0.674,55456208.0,2498.73,1.7
United Kingdom,GBR,1969,116464702803.21764,11.331,628.383,0.674,55456208.0,2498.73,0.1
United Kingdom,GBR,1969,116464702803.21764,11.331,628.383,0.674,55456208.0,2498.73,0.2
United Kingdom,GBR,1969,116464702803.21764,11.331,628.383,0.674,55456208.0,2498.73,0.1
United Kingdom,GBR,1969,116464702803.21764,11.331,628.383,0.674,55456208.0,2498.73,0.2
United States,USA,1969,1017438172413.79,19.655,4035.145,0.823,205300032.0,17583.422,1.2
United States,USA,1969,1017438172413.79,19.655,4035.145,0.823,205300032.0,17583.422,2.7
United States,USA,1969,1017438172413.79,19.655,4035.145,0.823,205300032.0,17583.422,0.6
United States,USA,1969,1017438172413.79,19.655,4035.145,0.823,205300032.0,17583.422,1.0
United States,USA,1969,1017438172413.79,19.655,4035.145,0.823,205300032.0,17583.422,0.4
United States,USA,1969,1017438172413.79,19.655,4035.145,0.823,205300032.0,17583.422,0.7
France,FRA,1970,147312861698.35834,9.079,461.338,0.489,50813071.0,1831.613,1.0
France,FRA,1970,147312861698.35834,9.079,461.338,0.489,50813071.0,1831.613,4.7
France,FRA,1970,147312861698.35834,9.079,461.338,0.489,50813071.0,1831.613,0.1
France,FRA,1970,147312861698.35834,9.079,461.338,0.489,50813071.0,1831.613,0.2
France,FRA,1970,147312861698.35834,9.079,461.338,0.489,50813071.0,1831.613,0.0
France,FRA,1970,147312861698.35834,9.079,461.338,0.489,50813071.0,1831.613,0.0
United Kingdom,GBR,1970,130671946244.30045,11.724,652.577,0.684,55663801.0,2551.043,0.4
United Kingdom,GBR,1970,130671946244.30045,11.724,652.577,0.684,55663801.0,2551.043,1.5
United Kingdom,GBR,1970,130671946244.30045,11.724,652.577,0.684,55663801.0,2551.043,0.1
United Kingdom,GBR,1970,130671946244.30045,11.724,652.577,0.684,55663801.0,2551.043,0.2
United Kingdom,GBR,1970,130671946244.30045,11.724,652.577,0.684,55663801.0,2551.043,0.0
United Kingdom,GBR,1970,130671946244.30045,11.724,652.577,0.684,55663801.0,2551.043,0.2
United States,USA,1970,1073303000000.0,20.884,4339.686,0.883,207796339.0,18205.84,1.6
United States,USA,1970,1073303000000.0,20.884,4339.686,0.883,207796339.0,18205.84,3.2
United States,USA,1970,1073303000000.0,20.884,4339.686,0.883,207796339.0,18205.84,0.9
United States,USA,1970,1073303000000.0,20.884,4339.686,0.883,207796339.0,18205.84,1.5
United States,USA,1970,1073303000000.0,20.884,4339.686,0.883,207796339.0,18205.84,0.7
United States,USA,1970,1073303000000.0,20.884,4339.686,0.883,207796339.0,18205.84,1.0
Canada,CAN,1971,99606454743.51357,16.089,352.287,0.799,21895693.0,1927.145,3.2
Canada,CAN,1971,99606454743.51357,16.089,352.287,0.799,21895693.0,1927.145,6.5
Canada,CAN,1971,99606454743.51357,16.089,352.287,0.799,21895693.0,1927.145,2.0
Canada,CAN,1971,99606454743.51357,16.089,352.287,0.799,21895693.0,1927.145,3.0
Canada,CAN,1971,99606454743.51357,16.089,352.287,0.799,21895693.0,1927.145,1.7
Canada,CAN,1971,99606454743.51357,16.089,352.287,0.799,21895693.0,1927.145,2.5
United Kingdom,GBR,1971,148113896325.13995,11.816,660.388,0.677,55890372.0,2503.85,0.3
United Kingdom,GBR,1971,148113896325.13995,11.816,660.388,0.677,55890372.0,2503.85,2.0
United Kingdom,GBR,1971,148113896325.13995,11.816,660.388,0.677,55890372.0,2503.85,0.1
United Kingdom,GBR,1971,148113896325.13995,11.816,660.388,0.677,55890372.0,2503.85,0.2
United Kingdom,GBR,1971,148113896325.13995,11.816,660.388,0.677,55890372.0,2503.85,0.0
United Kingdom,GBR,1971,148113896325.13995,11.816,660.388,0.677,55890372.0,2503.85,0.0
United States,USA,1971,1164850000000.0,20.746,4365.465,0.862,210426424.0,18589.008,1.4
United States,USA,1971,1164850000000.0,20.746,4365.465,0.862,210426424.0,18589.008,3.0
United States,USA,1971,1164850000000.0,20.746,4365.465,0.862,210426424.0,18589.008,0.7
United States,USA,1971,1164850000000.0,20.746,4365.465,0.862,210426424.0,18589.008,1.2
United States,USA,1971,1164850000000.0,20.746,4365.465,0.862,210426424.0,18589.008,0.6
United States,USA,1971,1164850000000.0,20.746,4365.465,0.862,210426424.0,18589.008,1.0
United Kingdom,GBR,1972,169965034965.03497,11.556,648.026,0.642,56079239.0,2540.698,0.6
United Kingdom,GBR,1972,169965034965.03497,11.556,648.026,0.642,56079239.0,2540.698,2.5
United Kingdom,GBR,1972,169965034965.03497,11.556,648.026,0.642,56079239.0,2540.698,0.2
United Kingdom,GBR,1972,169965034965.03497,11.556,648.026,0.642,56079239.0,2540.698,0.5
United Kingdom,GBR,1972,169965034965.03497,11.556,648.026,0.642,56079239.0,2540.698,0.1
United Kingdom,GBR,1972,169965034965.03497,11.556,648.026,0.642,56079239.0,2540.698,0.2
United States,USA,1972,1279110000000.0,21.485,4573.015,0.857,212842574.0,19514.082,1.3
United States,USA,1972,1279110000000.0,21.485,4573.015,0.857,212842574.0,19514.082,2.7
United States,USA,1972,1279110000000.0,21.485,4573.015,0.857,212842574.0,19514.082,0.7
United States,USA,1972,1279110000000.0,21.485,4573.015,0.857,212842574.0,19514.082,1.0
United States,USA,1972,1279110000000.0,21.485,4573.015,0.857,212842574.0,19514.082,0.6
United States,USA,1972,1279110000000.0,21.485,4573.015,0.857,212842574.0,19514.082,0.7
Canada,CAN,1973,131764343565.64342,16.936,381.273,0.766,22512230.0,2252.543,2.2
Canada,CAN,1973,131764343565.64342,16.936,381.273,0.766,22512230.0,2252.543,4.0
Canada,CAN,1973,131764343565.64342,16.936,381.273,0.766,22512230.0,2252.543,1.5
Canada,CAN,1973,131764343565.64342,16.936,381.273,0.766,22512230.0,2252.543,2.0
Canada,CAN,1973,131764343565.64342,16.936,381.273,0.766,22512230.0,2252.543,1.3
Canada,CAN,1973,131764343565.64342,16.936,381.273,0.766,22512230.0,2252.543,1.7
United Kingdom,GBR,1973,192537971582.5576,11.739,659.577,0.612,56188788.0,2667.083,0.2
United Kingdom,GBR,1973,192537971582.5576,11.739,659.577,0.612,56188788.0,2667.083,1.0
United Kingdom,GBR,1973,192537971582.5576,11.739,659.577,0.612,56188788.0,2667.083,0.0
United Kingdom,GBR,1973,192537971582.5576,11.739,659.577,0.612,56188788.0,2667.083,0.0
United Kingdom,GBR,1973,192537971582.5576,11.739,659.577,0.612,56188788.0,2667.083,0.0
United Kingdom,GBR,1973,192537971582.5576,11.739,659.577,0.612,56188788.0,2667.083,0.0
United States,USA,1973,1425376000000.0,22.257,4785.434,0.849,215006548.0,20339.793,1.2
United States,USA,1973,1425376000000.0,22.257,4785.434,0.849,215006548.0,20339.793,2.7
United States,USA,1973,1425376000000.0,22.257,4785.434,0.849,215006548.0,20339.793,0.7
United States,USA,1973,1425376000000.0,22.257,4785.434,0.849,215006548.0,20339.793,1.0
United States,USA,1973,1425376000000.0,22.257,4785.434,0.849,215006548.0,20339.793,0.6
United States,USA,1973,1425376000000.0,22.257,4785.434,0.849,215006548.0,20339.793,0.7
United Kingdom,GBR,1974,206131369798.97147,10.977,617.184,0.581,56224550.0,2533.179,0.4
United Kingdom,GBR,1974,206131369798.97147,10.977,617.184,0.581,56224550.0,2533.179,1.2
United Kingdom,GBR,1974,206131369798.97147,10.977,617.184,0.581,56224550.0,2533.179,0.2
United Kingdom,GBR,1974,206131369798.97147,10.977,617.184,0.581,56224550.0,2533.179,0.2
United Kingdom,GBR,1974,206131369798.97147,10.977,617.184,0.581,56224550.0,2533.179,0.1
United Kingdom,GBR,1974,206131369798.97147,10.977,617.184,0.581,56224550.0,2533.179,0.2
United States,USA,1974,1545243000000.0,21.289,4621.419,0.822,217076474.0,19842.607,1.3
United States,USA,1974,1545243000000.0,21.289,4621.419,0.822,217076474.0,19842.607,2.7
United States,USA,1974,1545243000000.0,21.289,4621.419,0.822,217076474.0,19842.607,0.7
United States,USA,1974,1545243000000.0,21.289,4621.419,0.822,217076474.0,19842.607,1.0
United States,USA,1974,1545243000000.0,21.289,4621.419,0.822,217076474.0,19842.607,0.6
United States,USA,1974,1545243000000.0,21.289,4621.419,0.822,217076474.0,19842.607,0.7
Canada,CAN,1975,174419757176.5631,17.141,396.787,0.749,23148980.0,2288.937,1.9
Canada,CAN,1975,174419757176.5631,17.141,396.787,0.749,23148980.0,2288.937,3.2
Canada,CAN,1975,174419757176.5631,17.141,396.787,0.749,23148980.0,2288.937,1.3
Canada,CAN,1975,174419757176.5631,17.141,396.787,0.749,23148980.0,2288.937,2.0
Canada,CAN,1975,174419757176.5631,17.141,396.787,0.749,23148980.0,2288.937,1.2
Canada,CAN,1975,174419757176.5631,17.141,396.787,0.749,23148980.0,2288.937,1.7
France,FRA,1975,357324307786.4464,9.162,483.272,0.434,52746322.0,2034.122,0.9
France,FRA,1975,357324307786.4464,9.162,483.272,0.434,52746322.0,2034.122,2.7
France,FRA,1975,357324307786.4464,9.162,483.272,0.434,52746322.0,2034.122,0.3
France,FRA,1975,357324307786.4464,9.162,483.272,0.434,52746322.0,2034.122,0.7
France,FRA,1975,357324307786.4464,9.162,483.272,0.434,52746322.0,2034.122,0.2
France,FRA,1975,357324307786.4464,9.162,483.272,0.434,52746322.0,2034.122,0.5
Sweden,SWE,1975,82765232647.753,9.858,80.76,0.436,8192642.0,529.476,0.6
Sweden,SWE,1975,82765232647.753,9.858,80.76,0.436,8192642.0,529.476,1.2
Sweden,SWE,1975,82765232647.753,9.858,80.76,0.436,8192642.0,529.476,0.4
Sweden,SWE,1975,82765232647.753,9.858,80.76,0.436,8192642.0,529.476,0.5
Sweden,SWE,1975,82765232647.753,9.858,80.76,0.436,8192642.0,529.476,0.3
Sweden,SWE,1975,82765232647.753,9.858,80.76,0.436,8192642.0,529.476,0.5
United Kingdom,GBR,1975,241756637168.1416,10.73,603.247,0.568,56220138.0,2388.249,0.3
United Kingdom,GBR,1975,241756637168.1416,10.73,603.247,0.568,56220138.0,2388.249,1.5
United Kingdom,GBR,1975,241756637168.1416,10.73,603.247,0.568,56220138.0,2388.249,0.1
United Kingdom,GBR,1975,241756637168.1416,10.73,603.247,0.568,56220138.0,2388.249,0.2
United Kingdom,GBR,1975,241756637168.1416,10.73,603.247,0.568,56220138.0,2388.249,0.1
United Kingdom,GBR,1975,241756637168.1416,10.73,603.247,0.568,56220138.0,2388.249,0.2
United States,USA,1975,1684904000000.0,20.438,4478.563,0.799,219129300.0,19319.48,1.2
United States,USA,1975,1684904000000.0,20.438,4478.563,0.799,219129300.0,19319.48,2.7
United States,USA,1975,1684904000000.0,20.438,4478.563,0.799,219129300.0,19319.48,0.6
United States,USA,1975,1684904000000.0,20.438,4478.563,0.799,219129300.0,19319.48,1.0
United States,USA,1975,1684904000000.0,20.438,4478.563,0.799,219129300.0,19319.48,0.5
United States,USA,1975,1684904000000.0,20.438,4478.563,0.799,219129300.0,19319.48,0.7
United Kingdom,GBR,1976,232614555256.0647,10.65,598.526,0.551,56201144.0,2437.358,0.2
United Kingdom,GBR,1976,232614555256.0647,10.65,598.526,0.551,56201144.0,2437.358,1.2
United Kingdom,GBR,1976,232614555256.0647,10.65,598.526,0.551,56201144.0,2437.358,0.0
United Kingdom,GBR,1976,232614555256.0647,10.65,598.526,0.551,56201144.0,2437.358,0.2
United Kingdom,GBR,1976,232614555256.0647,10.65,598.526,0.551,56201144.0,2437.358,0.0
United Kingdom,GBR,1976,232614555256.0647,10.65,598.526,0.551,56201144.0,2437.358,0.0
United States,USA,1976,1873412000000.0,21.468,4748.111,0.805,221168756.0,20376.508,1.0
United States,USA,1976,1873412000000.0,21.468,4748.111,0.805,221168756.0,20376.508,2.2
United States,USA,1976,1873412000000.0,21.468,4748.111,0.805,221168756.0,20376.508,0.5
United States,USA,1976,1873412000000.0,21.468,4748.111,0.805,221168756.0,20376.508,1.0
United States,USA,1976,1873412000000.0,21.468,4748.111,0.805,221168756.0,20376.508,0.5
United States,USA,1976,1873412000000.0,21.468,4748.111,0.805,221168756.0,20376.508,0.7
Canada,CAN,1977,212325176304.65448,17.184,407.79,0.706,23730341.0,2535.542,1.8
Canada,CAN,1977,212325176304.65448,17.184,407.79,0.706,23730341.0,2535.542,3.0
Canada,CAN,1977,212325176304.65448,17.184,407.79,0.706,23730341.0,2535.542,1.2
Canada,CAN,1977,212325176304.65448,17.184,407.79,0.706,23730341.0,2535.542,1.7
Canada,CAN,1977,212325176304.65448,17.184,407.79,0.706,23730341.0,2535.542,1.0
Canada,CAN,1977,212325176304.65448,17.184,407.79,0.706,23730341.0,2535.542,1.5
India,IND,1977,121486641441.3093,0.404,258.962,0.273,640801105.0,1078.32,63.2
India,IND,1977,121486641441.3093,0.404,258.962,0.273,640801105.0,1078.32,97.4
India,IND,1977,121486641441.3093,0.404,258.962,0.273,640801105.0,1078.32,33.9
India,IND,1977,121486641441.3093,0.404,258.962,0.273,640801105.0,1078.32,82.9
India,IND,1977,121486641441.3093,0.404,258.962,0.273,640801105.0,1078.32,18.3
India,IND,1977,121486641441.3093,0.404,258.962,0.273,640801105.0,1078.32,59.7
Italy,ITA,1977,258190019749.83545,6.361,354.418,0.34,55714552.0,1674.358,1.3
Italy,ITA,1977,258190019749.83545,6.361,354.418,0.34,55714552.0,1674.358,5.0
Italy,ITA,1977,258190019749.83545,6.361,354.418,0.34,55714552.0,1674.358,0.3
Italy,ITA,1977,258190019749.83545,6.361,354.418,0.34,55714552.0,1674.358,1.0
Italy,ITA,1977,258190019749.83545,6.361,354.418,0.34,55714552.0,1674.358,0.1
Italy,ITA,1977,258190019749.83545,6.361,354.418,0.34,55714552.0,1674.358,0.2
United Kingdom,GBR,1977,263066457352.17163,10.758,604.362,0.545,56175831.0,2482.948,0.4
United Kingdom,GBR,1977,263066457352.17163,10.758,604.362,0.545,56175831.0,2482.948,1.5
United Kingdom,GBR,1977,263066457352.17163,10.758,604.362,0.545,56175831.0,2482.948,0.2
United Kingdom,GBR,1977,263066457352.17163,10.758,604.362,0.545,56175831.0,2482.948,0.2
United Kingdom,GBR,1977,263066457352.17163,10.758,604.362,0.545,56175831.0,2482.948,0.1
United Kingdom,GBR,1977,263066457352.17163,10.758,604.362,0.545,56175831.0,2482.948,0.2
United States,USA,1977,2081826000000.0,21.903,4889.953,0.793,223259417.0,20895.646,1.0
United States,USA,1977,2081826000000.0,21.903,4889.953,0.793,223259417.0,20895.646,2.2
United States,USA,1977,2081826000000.0,21.903,4889.953,0.793,223259417.0,20895.646,0.5
United States,USA,1977,2081826000000.0,21.903,4889.953,0.793,223259417.0,20895.646,0.7
United States,USA,1977,2081826000000.0,21.903,4889.953,0.793,223259417.0,20895.646,0.4
United States,USA,1977,2081826000000.0,21.903,4889.953,0.793,223259417.0,20895.646,0.5
Italy,ITA,1978,315784469541.41,6.637,371.274,0.343,55938969.0,1715.524,1.5
Italy,ITA,1978,315784469541.41,6.637,371.274,0.343,55938969.0,1715.524,4.5
Italy,ITA,1978,315784469541.41,6.637,371.274,0.343,55938969.0,1715.524,0.4
Italy,ITA,1978,315784469541.41,6.637,371.274,0.343,55938969.0,1715.524,1.0
Italy,ITA,1978,315784469541.41,6.637,371.274,0.343,55938969.0,1715.524,0.3
Italy,ITA,1978,315784469541.41,6.637,371.274,0.343,55938969.0,1715.524,0.5
United Kingdom,GBR,1978,335883029721.95593,10.765,604.714,0.527,56175552.0,2497.193,0.2
United Kingdom,GBR,1978,335883029721.95593,10.765,604.714,0.527,56175552.0,2497.193,1.0
United Kingdom,GBR,1978,335883029721.95593,10.765,604.714,0.527,56175552.0,2497.193,0.0
United Kingdom,GBR,1978,335883029721.95593,10.765,604.714,0.527,56175552.0,2497.193,0.0
United Kingdom,GBR,1978,335883029721.95593,10.765,604.714,0.527,56175552.0,2497.193,0.0
United Kingdom,GBR,1978,335883029721.95593,10.765,604.714,0.527,56175552.0,2497.193,0.0
United States,USA,1978,2351599000000.0,21.925,4941.708,0.758,225396098.0,21359.291,1.0
United States,USA,1978,2351599000000.0,21.925,4941.708,0.758,225396098.0,21359.291,2.5
United States,USA,1978,2351599000000.0,21.925,4941.708,0.758,225396098.0,21359.291,0.5
United States,USA,1978,2351599000000.0,21.925,4941.708,0.758,225396098.0,21359.291,0.7
United States,USA,1978,2351599000000.0,21.925,4941.708,0.758,225396098.0,21359.291,0.4
United States,USA,1978,2351599000000.0,21.925,4941.708,0.758,225396098.0,21359.291,0.7
Canada,CAN,1979,243891124295.7145,18.223,441.677,0.706,24237173.0,2660.205,1.5
Canada,CAN,1979,243891124295.7145,18.223,441.677,0.706,24237173.0,2660.205,2.5
Canada,CAN,1979,243891124295.7145,18.223,441.677,0.706,24237173.0,2660.205,1.1
Canada,CAN,1979,243891124295.7145,18.223,441.677,0.706,24237173.0,2660.205,1.5
Canada,CAN,1979,243891124295.7145,18.223,441.677,0.706,24237173.0,2660.205,0.9
Canada,CAN,1979,243891124295.7145,18.223,441.677,0.706,24237173.0,2660.205,1.2
France,FRA,1979,608218624730.1881,9.937,533.254,0.417,53660897.0,2342.682,0.6
France,FRA,1979,608218624730.1881,9.937,533.254,0.417,53660897.0,2342.682,1.5
France,FRA,1979,608218624730.1881,9.937,533.254,0.417,53660897.0,2342.682,0.2
France,FRA,1979,608218624730.1881,9.937,533.254,0.417,53660897.0,2342.682,0.5
France,FRA,1979,608218624730.1881,9.937,533.254,0.417,53660897.0,2342.682,0.2
France,FRA,1979,608218624730.1881,9.937,533.254,0.417,53660897.0,2342.682,0.2
Israel,ISR,1979,22609741059.83896,5.731,20.864,0.341,3640878.0,91.251,3.0
Israel,ISR,1979,22609741059.83896,5.731,20.864,0.341,3640878.0,91.251,13.1
Israel,ISR,1979,22609741059.83896,5.731,20.864,0.341,3640878.0,91.251,0.2
Israel,ISR,1979,22609741059.83896,5.731,20.864,0.341,3640878.0,91.251,1.1
Israel,ISR,1979,22609741059.83896,5.731,20.864,0.341,3640878.0,91.251,0.0
Israel,ISR,1979,22609741059.83896,5.731,20.864,0.341,3640878.0,91.251,0.4
Italy,ITA,1979,394584507107.90027,6.863,385.256,0.337,56132381.0,1769.165,1.3
Italy,ITA,1979,394584507107.90027,6.863,385.256,0.337,56132381.0,1769.165,4.2
Italy,ITA,1979,394584507107.90027,6.863,385.256,0.337,56132381.0,1769.165,0.3
Italy,ITA,1979,394584507107.90027,6.863,385.256,0.337,56132381.0,1769.165,1.0
Italy,ITA,1979,394584507107.90027,6.863,385.256,0.337,56132381.0,1769.165,0.2
Italy,ITA,1979,394584507107.90027,6.863,385.256,0.337,56132381.0,1769.165,0.5
Norway,NOR,1979,53132244623.92133,8.502,34.625,0.37,4072502.0,398.209,0.6
Norway,NOR,1979,53132244623.92133,8.502,34.625,0.37,4072502.0,398.209,1.2
Norway,NOR,1979,53132244623.92133,8.502,34.625,0.37,4072502.0,398.209,0.2
Norway,NOR,1979,53132244623.92133,8.502,34.625,0.37,4072502.0,398.209,0.5
Norway,NOR,1979,53132244623.92133,8.502,34.625,0.37,4072502.0,398.209,0.2
Norway,NOR,1979,53132244623.92133,8.502,34.625,0.37,4072502.0,398.209,0.2
United Kingdom,GBR,1979,438994070309.19104,11.464,644.513,0.546,56218759.0,2614.039,0.2
United Kingdom,GBR,1979,438994070309.19104,11.464,644.513,0.546,56218759.0,2614.039,1.0
United Kingdom,GBR,1979,438994070309.19104,11.464,644.513,0.546,56218759.0,2614.039,0.0
United Kingdom,GBR,1979,438994070309.19104,11.464,644.513,0.546,56218759.0,2614.039,0.2
United Kingdom,GBR,1979,438994070309.19104,11.464,644.513,0.546,56218759.0,2614.039,0.0
United Kingdom,GBR,1979,438994070309.19104,11.464,644.513,0.546,56218759.0,2614.039,0.0
United States,USA,1979,2627333000000.0,22.01,5008.956,0.743,227575083.0,21584.4,0.9
United States,USA,1979,2627333000000.0,22.01,5008.956,0.743,227575083.0,21584.4,1.7
United States,USA,1979,2627333000000.0,22.01,5008.956,0.743,227575083.0,21584.4,0.5
United States,USA,1979,2627333000000.0,22.01,5008.956,0.743,227575083.0,21584.4,0.7
United States,USA,1979,2627333000000.0,22.01,5008.956,0.743,227575083.0,21584.4,0.5
United States,USA,1979,2627333000000.0,22.01,5008.956,0.743,227575083.0,21584.4,0.7
Argentina,ARG,1980,76961923741.0701,3.879,108.656,0.293,28011596.0,472.019,1.6
Argentina,ARG,1980,76961923741.0701,3.879,108.656,0.293,28011596.0,472.019,7.5
Argentina,ARG,1980,76961923741.0701,3.879,108.656,0.293,28011596.0,472.019,0.0
Argentina,ARG,1980,76961923741.0701,3.879,108.656,0.293,28011596.0,472.019,0.0
Argentina,ARG,1980,76961923741.0701,3.879,108.656,0.293,28011596.0,472.019,0.0
Argentina,ARG,1980,76961923741.0701,3.879,108.656,0.293,28011596.0,472.019,0.0
Colombia,COL,1980,33400735644.048115,1.692,44.174,0.244,26104502.0,190.734,35.9
Colombia,COL,1980,33400735644.048115,1.692,44.174,0.244,26104502.0,190.734,65.3
Colombia,COL,1980,33400735644.048115,1.692,44.174,0.244,26104502.0,190.734,18.3
Colombia,COL,1980,33400735644.048115,1.692,44.174,0.244,26104502.0,190.734,39.7
Colombia,COL,1980,33400735644.048115,1.692,44.174,0.244,26104502.0,190.734,11.9
Colombia,COL,1980,33400735644.048115,1.692,44.174,0.244,26104502.0,190.734,28.5
Italy,ITA,1980,478356755595.7495,6.85,386.433,0.327,56412088.0,1723.793,0.8
Italy,ITA,1980,478356755595.7495,6.85,386.433,0.327,56412088.0,1723.793,2.7
Italy,ITA,1980,478356755595.7495,6.85,386.433,0.327,56412088.0,1723.793,0.1
Italy,ITA,1980,478356755595.7495,6.85,386.433,0.327,56412088.0,1723.793,0.5
Italy,ITA,1980,478356755595.7495,6.85,386.433,0.327,56412088.0,1723.793,0.1
Italy,ITA,1980,478356755595.7495,6.85,386.433,0.327,56412088.0,1723.793,0.2
Madagascar,MDG,1980,5201818347.7988205,0.179,1.614,0.111,9006039.0,5.516,63.2
Madagascar,MDG,1980,5201818347.7988205,0.179,1.614,0.111,9006039.0,5.516,93.2
Madagascar,MDG,1980,5201818347.7988205,0.179,1.614,0.111,9006039.0,5.516,39.7
Madagascar,MDG,1980,5201818347.7988205,0.179,1.614,0.111,9006039.0,5.516,76.5
Madagascar,MDG,1980,5201818347.7988205,0.179,1.614,0.111,9006039.0,5.516,27.7
Madagascar,MDG,1980,5201818347.7988205,0.179,1.614,0.111,9006039.0,5.516,61.7
Spain,ESP,1980,232600556973.77585,5.699,213.912,0.407,37537561.0,887.016,2.7
